device,device_id,site_id,time,pm2_5_value,pm2_5_calibratedValue,pm10_value,pm10_calibratedValue,frequency,no2_value,no2_calibratedValue,deviceDetails__id,deviceDetails_mobility,deviceDetails_device_codes_0,deviceDetails_device_codes_1,deviceDetails_device_codes_2,deviceDetails_status,deviceDetails_isPrimaryInLocation,deviceDetails_category,deviceDetails_network,deviceDetails_name,deviceDetails___v,deviceDetails_alias,deviceDetails_approximate_distance_in_km,deviceDetails_bearing_in_radians,deviceDetails_latitude,deviceDetails_longitude
airqo-g5171,6425370f88d7e4001d3596f4,64ceb622c01e770013b27f01,2023-11-25T19:00:00.000Z,11.616900000000047,11.616900000000047,7.955399691116977,7.955399691116977,hourly,,,6425370f88d7e4001d3596f4,false,6425370f88d7e4001d3596f4,airqo-g5171,2087721,deployed,false,lowcost,airqo,airqo-g5171,0,airqo-g5171,0.5,3.033,5.647,-0.18515
airqo-g5171,6425370f88d7e4001d3596f4,64ceb622c01e770013b27f01,2023-11-25T18:00:00.000Z,11.32610000000006,11.32610000000006,4.922872157809599,4.922872157809599,hourly,,,6425370f88d7e4001d3596f4,false,6425370f88d7e4001d3596f4,airqo-g5171,2087721,deployed,false,lowcost,airqo,airqo-g5171,0,airqo-g5171,0.5,3.033,5.647,-0.18515
airqo-g5171,6425370f88d7e4001d3596f4,64ceb622c01e770013b27f01,2023-11-25T17:00:00.000Z,9.182300000000026,9.182300000000026,2.6396201260560685,2.6396201260560685,hourly,,,6425370f88d7e4001d3596f4,false,6425370f88d7e4001d3596f4,airqo-g5171,2087721,deployed,false,lowcost,airqo,airqo-g5171,0,airqo-g5171,0.5,3.033,5.647,-0.18515
airqo-g5171,6425370f88d7e4001d3596f4,64ceb622c01e770013b27f01,2023-11-25T16:00:00.000Z,9.187200000000027,9.187200000000027,1.165734563656332,1.165734563656332,hourly,,,6425370f88d7e4001d3596f4,false,6425370f88d7e4001d3596f4,airqo-g5171,2087721,deployed,false,lowcost,airqo,airqo-g5171,0,airqo-g5171,0.5,3.033,5.647,-0.18515
airqo-g5171,6425370f88d7e4001d3596f4,64ceb622c01e770013b27f01,2023-11-25T15:00:00.000Z,9.365300000000024,9.365300000000024,4.587845128551344,4.587845128551344,hourly,,,6425370f88d7e4001d3596f4,false,6425370f88d7e4001d3596f4,airqo-g5171,2087721,deployed,false,lowcost,airqo,airqo-g5171,0,airqo-g5171,0.5,3.033,5.647,-0.18515
airqo-g5171,6425370f88d7e4001d3596f4,64ceb622c01e770013b27f01,2023-11-25T14:00:00.000Z,9.252000000000026,9.252000000000026,5.983903259771704,5.983903259771704,hourly,,,6425370f88d7e4001d3596f4,false,6425370f88d7e4001d3596f4,airqo-g5171,2087721,deployed,false,lowcost,airqo,airqo-g5171,0,airqo-g5171,0.5,3.033,5.647,-0.18515
airqo-g5171,6425370f88d7e4001d3596f4,64ceb622c01e770013b27f01,2023-11-25T13:00:00.000Z,11.78830000000006,11.78830000000006,7.7236355926792655,7.7236355926792655,hourly,,,6425370f88d7e4001d3596f4,false,6425370f88d7e4001d3596f4,airqo-g5171,2087721,deployed,false,lowcost,airqo,airqo-g5171,0,airqo-g5171,0.5,3.033,5.647,-0.18515
airqo-g5171,6425370f88d7e4001d3596f4,64ceb622c01e770013b27f01,2023-11-25T12:00:00.000Z,10.685900000000045,10.685900000000045,9.862577564760109,9.862577564760109,hourly,,,6425370f88d7e4001d3596f4,false,6425370f88d7e4001d3596f4,airqo-g5171,2087721,deployed,false,lowcost,airqo,airqo-g5171,0,airqo-g5171,0.5,3.033,5.647,-0.18515
airqo-g5171,6425370f88d7e4001d3596f4,64ceb622c01e770013b27f01,2023-11-25T11:00:00.000Z,9.94670000000004,9.94670000000004,7.251683248339642,7.251683248339642,hourly,,,6425370f88d7e4001d3596f4,false,6425370f88d7e4001d3596f4,airqo-g5171,2087721,deployed,false,lowcost,airqo,airqo-g5171,0,airqo-g5171,0.5,3.033,5.647,-0.18515
airqo-g5171,6425370f88d7e4001d3596f4,64ceb622c01e770013b27f01,2023-11-25T10:00:00.000Z,10.52390000000006,10.52390000000006,7.789839244840722,7.789839244840722,hourly,,,6425370f88d7e4001d3596f4,false,6425370f88d7e4001d3596f4,airqo-g5171,2087721,deployed,false,lowcost,airqo,airqo-g5171,0,airqo-g5171,0.5,3.033,5.647,-0.18515
airqo-g5171,6425370f88d7e4001d3596f4,64ceb622c01e770013b27f01,2023-11-25T09:00:00.000Z,15.906300000000082,15.906300000000082,14.279494074336098,14.279494074336098,hourly,,,6425370f88d7e4001d3596f4,false,6425370f88d7e4001d3596f4,airqo-g5171,2087721,deployed,false,lowcost,airqo,airqo-g5171,0,airqo-g5171,0.5,3.033,5.647,-0.18515
airqo-g5171,6425370f88d7e4001d3596f4,64ceb622c01e770013b27f01,2023-11-25T08:00:00.000Z,14.952099999999996,14.952099999999996,20.31144854780776,20.31144854780776,hourly,,,6425370f88d7e4001d3596f4,false,6425370f88d7e4001d3596f4,airqo-g5171,2087721,deployed,false,lowcost,airqo,airqo-g5171,0,airqo-g5171,0.5,3.033,5.647,-0.18515
airqo-g5171,6425370f88d7e4001d3596f4,64ceb622c01e770013b27f01,2023-11-25T07:00:00.000Z,18.51730000000001,18.51730000000001,26.630868691241044,26.630868691241044,hourly,,,6425370f88d7e4001d3596f4,false,6425370f88d7e4001d3596f4,airqo-g5171,2087721,deployed,false,lowcost,airqo,airqo-g5171,0,airqo-g5171,0.5,3.033,5.647,-0.18515
airqo-g5171,6425370f88d7e4001d3596f4,64ceb622c01e770013b27f01,2023-11-24T20:00:00.000Z,16.753700000000048,16.753700000000048,18.14535854136892,18.14535854136892,hourly,,,6425370f88d7e4001d3596f4,false,6425370f88d7e4001d3596f4,airqo-g5171,2087721,deployed,false,lowcost,airqo,airqo-g5171,0,airqo-g5171,0.5,3.033,5.647,-0.18515
