pm4cnc,pm4cnt,dt_time,pm25raw,pm2.5cnc,temp,rh,o3op1,o3op2,no2op1,no2op2,pm10cnc,PM10,pres,altd,pm1cnc,pm0.3cnt,pm0.5cnt,pm1cnt,pm2.5cnt,pm5cnt,pm10cnt,lat,lon,no,nox,nh3,co,co2,benzene,deviceid
0,0,2023-11-29 00:00:00,2,2,29.7,76.3,0,0,0,0,2,0,1000,352,2,0,15,18,18,0,18,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:01:00,2,2,29.6,76.8,0,0,0,0,2,0,1000,354,2,0,15,17,17,0,17,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:02:00,2,2,29.7,76.7,0,0,0,0,2,0,1000,351,2,0,14,16,16,0,16,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:03:00,1,1,29.6,76.6,0,0,0,0,1,0,1000,352,1,0,13,15,15,0,15,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:04:00,1,1,29.6,76.9,0,0,0,0,1,0,1000,352,1,0,13,15,15,0,15,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:05:00,1,1,29.5,76.8,0,0,0,0,1,0,1000,349,1,0,11,13,13,0,13,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:06:00,1,1,29.6,75.9,0,0,0,0,1,0,1000,349,1,0,12,14,15,0,15,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:07:00,1,1,29.6,75.7,0,0,0,0,1,0,1000,348,1,0,13,15,15,0,15,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:08:00,1,1,29.6,75.7,0,0,0,0,1,0,1000,349,1,0,13,15,15,0,15,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:09:00,1,1,29.6,76.5,0,0,0,0,1,0,1000,345,1,0,14,17,17,0,17,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:10:00,1,1,29.5,76.8,0,0,0,0,1,0,1000,346,1,0,12,15,15,0,15,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:11:00,2,2,29.6,77.2,0,0,0,0,2,0,1000,346,1,0,13,15,15,0,15,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:12:00,1,1,29.5,77.0,0,0,0,0,1,0,1000,345,1,0,12,14,14,0,14,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:13:00,1,1,29.5,77.0,0,0,0,0,1,0,1000,343,1,0,16,18,18,0,18,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:14:00,1,1,29.5,76.6,0,0,0,0,1,0,1000,346,1,0,13,15,16,0,16,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:15:00,2,2,29.4,77.7,0,0,0,0,2,0,1000,345,2,0,18,21,21,0,21,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:16:00,2,2,29.4,77.4,0,0,0,0,2,0,1000,343,2,0,17,20,20,0,20,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:17:00,2,2,29.5,78.7,0,0,0,0,2,0,1000,346,2,0,16,19,19,0,19,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:18:00,2,2,29.5,77.8,0,0,0,0,2,0,1000,346,2,0,20,23,23,0,23,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:19:00,2,2,29.5,77.5,0,0,0,0,2,0,1000,344,2,0,20,24,24,0,24,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:20:00,3,3,29.5,77.7,0,0,0,0,3,0,1000,344,2,0,25,29,29,0,29,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:21:00,2,2,29.5,77.6,0,0,0,0,2,0,1000,344,2,0,18,21,21,0,21,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:22:00,2,2,29.4,78.2,0,0,0,0,2,0,1000,343,2,0,18,21,22,0,22,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:23:00,2,2,29.4,78.0,0,0,0,0,2,0,1000,342,2,0,20,23,23,0,23,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:24:00,2,2,29.4,79.3,0,0,0,0,2,0,1000,342,2,0,18,21,21,0,21,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:25:00,2,2,29.3,78.2,0,0,0,0,2,0,1000,343,2,0,20,23,23,0,23,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:26:00,2,2,29.3,78.1,0,0,0,0,2,0,1000,340,2,0,19,22,22,0,22,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:27:00,2,2,29.4,77.1,0,0,0,0,2,0,1000,339,2,0,15,18,18,0,18,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:28:00,2,2,29.4,77.9,0,0,0,0,2,0,1000,338,2,0,16,18,18,0,18,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:29:00,2,2,29.3,78.5,0,0,0,0,2,0,1000,340,2,0,16,19,19,0,19,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:30:00,2,2,29.4,78.3,0,0,0,0,2,0,1000,339,2,0,17,19,20,0,20,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:31:00,2,2,29.3,77.8,0,0,0,0,2,0,1000,338,1,0,15,17,17,0,17,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:32:00,2,2,29.3,77.5,0,0,0,0,2,0,1000,339,1,0,15,17,17,0,17,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:33:00,2,2,29.3,78.3,0,0,0,0,2,0,1000,336,1,0,13,15,15,0,15,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:34:00,1,1,29.2,78.8,0,0,0,0,1,0,1001,336,1,0,14,16,16,0,16,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:35:00,1,1,29.3,78.4,0,0,0,0,1,0,1000,336,1,0,16,18,18,0,18,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:36:00,1,1,29.3,78.5,0,0,0,0,1,0,1000,336,1,0,12,13,14,0,14,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:41:00,2,2,29.3,77.6,0,0,0,0,2,0,1001,333,1,0,18,21,22,0,22,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:42:00,1,1,29.2,77.7,0,0,0,0,1,0,1001,335,1,0,12,14,14,0,14,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:43:00,1,1,29.2,78.5,0,0,0,0,1,0,1001,333,1,0,14,16,16,0,16,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:44:00,1,1,29.2,78.8,0,0,0,0,1,0,1001,333,1,0,14,16,16,0,16,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:45:00,1,1,29.2,78.0,0,0,0,0,1,0,1001,333,1,0,11,13,13,0,13,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:46:00,1,1,29.2,78.0,0,0,0,0,1,0,1001,330,1,0,15,18,18,0,18,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:47:00,1,1,29.2,79.0,0,0,0,0,1,0,1001,331,1,0,12,14,14,0,14,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:48:00,1,1,29.3,78.9,0,0,0,0,1,0,1001,329,1,0,11,13,13,0,13,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:49:00,1,1,29.2,78.7,0,0,0,0,1,0,1001,329,1,0,12,14,14,0,14,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:50:00,1,1,29.2,77.9,0,0,0,0,1,0,1001,328,1,0,12,14,14,0,14,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:51:00,1,1,29.1,78.0,0,0,0,0,1,0,1001,327,1,0,10,12,12,0,12,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:52:00,1,1,29.1,78.1,0,0,0,0,1,0,1001,329,1,0,8,9,9,0,9,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:53:00,1,1,29.1,78.4,0,0,0,0,1,0,1001,329,1,0,9,10,10,0,10,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:54:00,1,1,29.1,78.1,0,0,0,0,1,0,1001,326,1,0,9,11,11,0,11,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:55:00,1,1,29.1,78.0,0,0,0,0,1,0,1001,327,1,0,11,13,13,0,13,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:56:00,1,1,29.1,78.7,0,0,0,0,1,0,1001,327,1,0,9,11,11,0,11,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:57:00,1,1,29.0,78.2,0,0,0,0,1,0,1001,330,1,0,8,9,9,0,9,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:58:00,1,1,29.1,78.8,0,0,0,0,1,0,1001,326,1,0,13,15,15,0,15,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 00:59:00,1,1,29.1,78.6,0,0,0,0,1,0,1001,326,1,0,10,12,12,0,12,0,0,0,0,0,0,0,0,3083988F1432
0,0,2023-11-29 01:00:00,1,1,29.1,78.6,0,0,0,0,1,0,1001,326,1,0,12,14,14,0,14,0,0,0,0,0,0,0,0,3083988F1432
