time,relHumid.value,relHumid.weight,relHumid.raw,temperature.value,temperature.weight,temperature.raw,pm2_5ConcNum.value,pm2_5ConcNum.weight,pm2_5ConcNum.raw,pm2_5ConcMass.value,pm2_5ConcMass.weight,pm2_5ConcMass.raw,pm1ConcNum.value,pm1ConcNum.weight,pm1ConcNum.raw,pm1ConcMass.value,pm1ConcMass.weight,pm1ConcMass.raw,pm10ConcNum.value,pm10ConcNum.weight,pm10ConcNum.raw,pm10ConcMass.value,pm10ConcMass.weight,pm10ConcMass.raw,no2Conc.value,no2Conc.weight,no2Conc.raw,pm2_5ConcMass_24HourRollingMean.value,pm2_5ConcMass_24HourRollingMean.weight,pm2_5ConcMass_24HourRollingMean.raw,pm2_5ConcNum_24HourRollingMean.value,pm2_5ConcNum_24HourRollingMean.weight,pm2_5ConcNum_24HourRollingMean.raw,pm10ConcMass_24HourRollingMean.value,pm10ConcMass_24HourRollingMean.weight,pm10ConcMass_24HourRollingMean.raw,pm10ConcNum_24HourRollingMean.value,pm10ConcNum_24HourRollingMean.weight,pm10ConcNum_24HourRollingMean.raw,pm2_5ConcMass_NowCast.value,pm2_5NowCastAqi.value,no2UsEpaAqi.raw,no2UsEpaAqi.value,pm2_5WaDwerAqi.raw,pm2_5WaDwerAqi.value,pm10WaDwerAqi.raw,pm10WaDwerAqi.value,no2WaDwerAqi.raw,no2WaDwerAqi.value,year,month,day,time
2022-01-21 11:00:00+03:00,66.57,4.0,66.57,30.43,4.0,30.43,26.94,4.0,26.94,22.2,4.0,22.2,25.62,4.0,25.62,13.01,4.0,13.01,27.18,4.0,27.18,28.11,4.0,28.11,1.15,4.0,1.15,19.88,87,19.88,23.76,87,23.76,24.79,87,24.79,23.98,87,23.98,28.44,85.0,1.0,1.0,80,80,50,50,1.0,1.0,2022,1,21,11:00
2022-01-21 10:00:00+03:00,66.72,3.0,66.72,30.42,3.0,30.42,24.92,3.0,24.92,20.22,3.0,20.22,23.75,3.0,23.75,12.92,3.0,12.92,25.09,3.0,25.09,23.22,3.0,23.22,-3.25,3.0,-3.25,19.57,87,19.57,23.36,87,23.36,24.43,87,24.43,23.57,87,23.57,36.65,104.0,,,78,78,49,49,,,2022,1,21,10:00
2022-01-21 09:00:00+03:00,69.88,4.0,69.88,29.31,4.0,29.31,42.13,4.0,42.13,34.34,4.0,34.34,40.01,4.0,40.01,21.45,4.0,21.45,42.45,4.0,42.45,42.41,4.0,42.41,-0.97,4.0,-0.97,19.73,87,19.73,23.61,87,23.61,24.7,87,24.7,23.83,87,23.83,38.94,109.0,,,79,79,49,49,,,2022,1,21,09:00
2022-01-21 08:00:00+03:00,75.22,3.0,75.22,28.3,3.0,28.3,57.99,3.0,57.99,42.12,3.0,42.12,55.12,3.0,55.12,26.46,3.0,26.46,58.58,3.0,58.58,56.86,3.0,56.86,4.05,3.0,4.05,18.91,86,18.91,22.56,86,22.56,23.68,86,23.68,22.77,86,22.77,35.76,102.0,4.0,4.0,76,76,47,47,3.0,3.0,2022,1,21,08:00
2022-01-21 07:00:00+03:00,79.58,4.0,79.58,27.46,4.0,27.46,54.72,4.0,54.72,40.55,4.0,40.55,52.06,4.0,52.06,25.95,4.0,25.95,55.16,4.0,55.16,52.2,4.0,52.2,9.72,4.0,9.72,18.38,87,18.38,21.62,87,21.62,22.82,87,22.82,21.82,87,21.82,30.95,91.0,9.0,9.0,74,74,46,46,8.0,8.0,2022,1,21,07:00
2022-01-21 06:00:00+03:00,81.98,3.0,81.98,26.75,3.0,26.75,51.25,3.0,51.25,38.39,3.0,38.39,48.83,3.0,48.83,24.92,3.0,24.92,51.61,3.0,51.61,47.05,3.0,47.05,10.24,3.0,10.24,18.0,86,18.0,20.89,86,20.89,22.32,86,22.32,21.09,86,21.09,22.96,74.0,10.0,10.0,72,72,45,45,9.0,9.0,2022,1,21,06:00
2022-01-21 05:00:00+03:00,81.43,4.0,81.43,26.93,4.0,26.93,30.12,4.0,30.12,27.41,4.0,27.41,28.48,4.0,28.48,16.69,4.0,16.69,30.38,4.0,30.38,31.93,4.0,31.93,9.2,4.0,9.2,18.21,87,18.21,20.92,87,20.92,22.68,87,22.68,21.12,87,21.12,18.83,65.0,9.0,9.0,73,73,45,45,8.0,8.0,2022,1,21,05:00
2022-01-21 04:00:00+03:00,79.74,3.0,79.74,27.31,3.0,27.31,24.46,3.0,24.46,22.96,3.0,22.96,23.06,3.0,23.06,13.19,3.0,13.19,24.71,3.0,24.71,28.4,3.0,28.4,7.29,3.0,7.29,18.05,86,18.05,20.78,86,20.78,22.54,86,22.54,20.98,86,20.98,15.83,59.0,7.0,7.0,72,72,45,45,6.0,6.0,2022,1,21,04:00
2022-01-21 03:00:00+03:00,79.95,4.0,79.95,27.36,4.0,27.36,17.85,4.0,17.85,15.92,4.0,15.92,16.81,4.0,16.81,9.5,4.0,9.5,18.0,4.0,18.0,19.0,4.0,19.0,7.51,4.0,7.51,18.08,87,18.08,20.81,87,20.81,22.56,87,22.56,21.01,87,21.01,15.79,59.0,7.0,7.0,72,72,45,45,6.0,6.0,2022,1,21,03:00
2022-01-21 02:00:00+03:00,80.33,3.0,80.33,27.45,3.0,27.45,18.65,3.0,18.65,17.17,3.0,17.17,17.58,3.0,17.58,9.85,3.0,9.85,18.83,3.0,18.83,20.95,3.0,20.95,7.33,3.0,7.33,18.44,86,18.44,21.3,86,21.3,23.01,86,23.01,21.51,86,21.51,15.53,58.0,7.0,7.0,74,74,46,46,6.0,6.0,2022,1,21,02:00
