geo_lat,geo_lon,met_rh,met_temp,model_pm_pm1,model_pm_pm10,model_pm_pm25,pm1,pm10,pm25,sn,timestamp,timestamp_local,url
5.65136,-0.18566,71.1,30.23,9434,9436,9435,23.785,105.589,30.356,MOD-PM-01068,2023-11-16T07:43:51,2023-11-16T07:43:51,https://api.quant-aq.com/device-api/v1/devices/MOD-PM-01068/data/418697547
5.65136,-0.18566,71.25,30.2,9434,9436,9435,31.876,97.125,37.66,MOD-PM-01068,2023-11-16T07:42:51,2023-11-16T07:42:51,https://api.quant-aq.com/device-api/v1/devices/MOD-PM-01068/data/418697546
5.65136,-0.18566,71.5,30.17,9434,9436,9435,30.669,113.415,36.424,MOD-PM-01068,2023-11-16T07:41:51,2023-11-16T07:41:51,https://api.quant-aq.com/device-api/v1/devices/MOD-PM-01068/data/418697543
5.65136,-0.18566,71.43,30.14,9434,9436,9435,30.255,93.738,35.642,MOD-PM-01068,2023-11-16T07:40:51,2023-11-16T07:40:51,https://api.quant-aq.com/device-api/v1/devices/MOD-PM-01068/data/418697544
5.65136,-0.18566,71.36,30.11,9434,9436,9435,25.375,91.358,31.401,MOD-PM-01068,2023-11-16T07:39:51,2023-11-16T07:39:51,https://api.quant-aq.com/device-api/v1/devices/MOD-PM-01068/data/418697545
5.65136,-0.18566,71.58,30.08,9434,9436,9435,24.532,124.489,30.569,MOD-PM-01068,2023-11-16T07:38:51,2023-11-16T07:38:51,https://api.quant-aq.com/device-api/v1/devices/MOD-PM-01068/data/418680969
5.65136,-0.18566,71.54,30.04,9434,9436,9435,23.672,109.243,29.792,MOD-PM-01068,2023-11-16T07:37:51,2023-11-16T07:37:51,https://api.quant-aq.com/device-api/v1/devices/MOD-PM-01068/data/418680963
5.65136,-0.18566,71.99,30.01,9434,9436,9435,24.018,119.144,30.122,MOD-PM-01068,2023-11-16T07:36:51,2023-11-16T07:36:51,https://api.quant-aq.com/device-api/v1/devices/MOD-PM-01068/data/418680961
5.65136,-0.18566,72.08,29.96,9434,9436,9435,24.672,116.252,30.715,MOD-PM-01068,2023-11-16T07:35:51,2023-11-16T07:35:51,https://api.quant-aq.com/device-api/v1/devices/MOD-PM-01068/data/418680966
5.65136,-0.18566,72.23,29.92,9434,9436,9435,25.761,69.707,31.591,MOD-PM-01068,2023-11-16T07:34:51,2023-11-16T07:34:51,https://api.quant-aq.com/device-api/v1/devices/MOD-PM-01068/data/418668563
5.65136,-0.18566,72.35,29.86,9434,9436,9435,34.013,88.098,40.464,MOD-PM-01068,2023-11-16T07:33:51,2023-11-16T07:33:51,https://api.quant-aq.com/device-api/v1/devices/MOD-PM-01068/data/418668567
5.65136,-0.18566,72.58,29.83,9434,9436,9435,33.371,74.864,39.539,MOD-PM-01068,2023-11-16T07:32:51,2023-11-16T07:32:51,https://api.quant-aq.com/device-api/v1/devices/MOD-PM-01068/data/418668565
5.65136,-0.18566,72.66,29.8,9434,9436,9435,26.315,150.287,32.754,MOD-PM-01068,2023-11-16T07:31:51,2023-11-16T07:31:51,https://api.quant-aq.com/device-api/v1/devices/MOD-PM-01068/data/418668564
5.65136,-0.18566,73.04,29.75,9434,9436,9435,29.017,83.684,35.591,MOD-PM-01068,2023-11-16T07:30:51,2023-11-16T07:30:51,https://api.quant-aq.com/device-api/v1/devices/MOD-PM-01068/data/418668566
