val.hmd,val.tmp,val.bar.pA,rec,ver,tag
62.7,32.7,100.134,2023-11-29T09:40:15Z,1,scs-bgx-868
63.1,32.9,100.133,2023-11-29T09:41:15Z,1,scs-bgx-868
60.9,32.9,100.132,2023-11-29T09:42:15Z,1,scs-bgx-868
60.6,33.1,100.129,2023-11-29T09:43:15Z,1,scs-bgx-868
59.6,33.4,100.127,2023-11-29T09:44:15Z,1,scs-bgx-868
59.1,33.5,100.127,2023-11-29T09:45:15Z,1,scs-bgx-868
59.2,33.6,100.125,2023-11-29T09:46:15Z,1,scs-bgx-868
59.6,33.6,100.128,2023-11-29T09:47:15Z,1,scs-bgx-868
59.6,33.5,100.125,2023-11-29T09:48:15Z,1,scs-bgx-868
59.8,33.6,100.125,2023-11-29T09:49:15Z,1,scs-bgx-868
59.1,33.7,100.121,2023-11-29T09:50:15Z,1,scs-bgx-868
59.6,33.5,100.12,2023-11-29T09:51:15Z,1,scs-bgx-868
60,33.5,100.12,2023-11-29T09:52:15Z,1,scs-bgx-868
60.2,33.2,100.118,2023-11-29T09:53:15Z,1,scs-bgx-868
60.8,33,100.121,2023-11-29T09:54:15Z,1,scs-bgx-868
60.4,33.2,100.118,2023-11-29T09:55:15Z,1,scs-bgx-868
60.8,33.2,100.117,2023-11-29T09:56:15Z,1,scs-bgx-868
60.5,33.4,100.117,2023-11-29T09:57:15Z,1,scs-bgx-868
59.4,33.6,100.117,2023-11-29T09:58:15Z,1,scs-bgx-868
60.1,33.6,100.115,2023-11-29T09:59:15Z,1,scs-bgx-868
60.3,33.6,100.114,2023-11-29T10:00:15Z,1,scs-bgx-868
59.6,33.7,100.114,2023-11-29T10:01:15Z,1,scs-bgx-868
59.9,33.5,100.113,2023-11-29T10:02:15Z,1,scs-bgx-868
59.4,33.5,100.109,2023-11-29T10:03:15Z,1,scs-bgx-868
60.1,33.4,100.112,2023-11-29T10:04:15Z,1,scs-bgx-868
59.2,33.5,100.107,2023-11-29T10:05:15Z,1,scs-bgx-868
59.3,33.6,100.105,2023-11-29T10:06:15Z,1,scs-bgx-868
59.6,33.5,100.103,2023-11-29T10:07:15Z,1,scs-bgx-868
60,33.7,100.1,2023-11-29T10:08:15Z,1,scs-bgx-868
59.3,33.9,100.099,2023-11-29T10:09:15Z,1,scs-bgx-868
59,34,100.099,2023-11-29T10:10:15Z,1,scs-bgx-868
59.2,34,100.099,2023-11-29T10:11:15Z,1,scs-bgx-868
58.6,34,100.098,2023-11-29T10:12:15Z,1,scs-bgx-868
58.9,34,100.096,2023-11-29T10:13:15Z,1,scs-bgx-868
58.2,34,100.097,2023-11-29T10:14:15Z,1,scs-bgx-868
58.1,33.8,100.101,2023-11-29T10:15:15Z,1,scs-bgx-868
59,33.6,100.097,2023-11-29T10:16:15Z,1,scs-bgx-868
58.5,33.8,100.099,2023-11-29T10:17:15Z,1,scs-bgx-868
59.5,33.6,100.097,2023-11-29T10:18:15Z,1,scs-bgx-868
59.5,33.5,100.099,2023-11-29T10:19:15Z,1,scs-bgx-868
59.7,33.5,100.098,2023-11-29T10:20:15Z,1,scs-bgx-868
58.4,33.6,100.097,2023-11-29T10:21:15Z,1,scs-bgx-868
