val.NO2.weV,val.NO2.cnc,val.NO2.aeV,val.NO2.weC,val.NO2.vCal,val.NO.weV,val.NO.cnc,val.NO.aeV,val.NO.weC,val.NO.vCal,val.sht.hmd,val.sht.tmp,rec,ver,tag,src,exg.val.NO2.cnc,exg.val.NO.cnc,exg.src
0.27644,3,0.27532,-0.00536,-10.177,0.32044,-273.1,0.31075,0.23418,6.466,61.8,32.9,2023-11-29T09:40:58Z,2,scs-bgx-868,AFE,13,18.1,uE.1
0.27594,0.5,0.27544,-0.00609,-12.367,0.32094,-273.4,0.31075,0.23404,7.668,61.8,32.7,2023-11-29T09:41:08Z,2,scs-bgx-868,AFE,10.7,19.6,uE.1
0.27769,6.1,0.2755,-0.0045,-6.396,0.31875,-276.2,0.31082,0.23289,2.236,62.9,32.9,2023-11-29T09:41:18Z,2,scs-bgx-868,AFE,17.5,14.9,uE.1
0.27838,8.1,0.27557,-0.00394,-4.205,0.31894,-275.7,0.31082,0.23307,2.692,61.9,32.9,2023-11-29T09:41:28Z,2,scs-bgx-868,AFE,19.9,15.9,uE.1
0.27657,1.7,0.27557,-0.00576,-10.601,0.32082,-270.3,0.31088,0.23534,7.067,62,32.9,2023-11-29T09:41:38Z,2,scs-bgx-868,AFE,12.9,19.7,uE.1
0.27607,-0.6,0.27563,-0.00639,-12.58,0.32119,-267.5,0.311,0.2365,7.668,61.8,32.9,2023-11-29T09:41:48Z,2,scs-bgx-868,AFE,11.1,20,uE.1
0.27625,0.6,0.27557,-0.00607,-11.731,0.32144,-266.9,0.311,0.23675,8.269,61.2,32.9,2023-11-29T09:41:58Z,2,scs-bgx-868,AFE,12.3,19.7,uE.1
0.2745,-5.7,0.27557,-0.00783,-17.915,0.32275,-262,0.31107,0.23878,11.25,60.4,33,2023-11-29T09:42:08Z,2,scs-bgx-868,AFE,7.6,26.9,uE.1
0.275,-3.9,0.27557,-0.00732,-16.148,0.32182,-264.1,0.31113,0.23791,8.87,61,32.9,2023-11-29T09:42:18Z,2,scs-bgx-868,AFE,9.9,19.6,uE.1
0.27569,-1.9,0.27563,-0.00676,-13.922,0.32138,-266.1,0.31107,0.23708,7.957,60.7,32.9,2023-11-29T09:42:28Z,2,scs-bgx-868,AFE,9.3,19.4,uE.1
0.27625,0,0.27563,-0.00621,-11.943,0.32082,-263.8,0.31125,0.23802,6.178,60.9,33,2023-11-29T09:42:38Z,2,scs-bgx-868,AFE,11.8,17.3,uE.1
0.277,2.6,0.27563,-0.00548,-9.293,0.32025,-263.5,0.31132,0.23818,4.639,60.8,33.1,2023-11-29T09:42:48Z,2,scs-bgx-868,AFE,14.1,15.4,uE.1
0.27613,-0.9,0.27569,-0.00649,-12.58,0.3215,-259.5,0.31138,0.23982,7.5,60.3,33.1,2023-11-29T09:42:58Z,2,scs-bgx-868,AFE,9.9,18.1,uE.1
