val.mtf1,val.pm1,val.mtf5,val.pm2p5,val.bin:0,val.bin:1,val.bin:2,val.bin:3,val.bin:4,val.bin:5,val.bin:6,val.bin:7,val.bin:8,val.bin:9,val.bin:10,val.bin:11,val.bin:12,val.bin:13,val.bin:14,val.bin:15,val.bin:16,val.bin:17,val.bin:18,val.bin:19,val.bin:20,val.bin:21,val.bin:22,val.bin:23,val.mtf3,val.pm10,val.mtf7,val.per,val.sfr,val.sht.hmd,val.sht.tmp,rec,ver,tag,src,exg.val.pm10,exg.val.pm1,exg.val.pm2p5,exg.src
25,2.1,36,6.1,391,50,21,6,8,4,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,17,40,4.1,5.09,41,40.5,2023-11-29T09:40:04Z,2,scs-bgx-868,N3,27.8,10.8,11.5,rn20
25,2.4,37,6.9,402,65,20,5,16,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,9.3,0,4.1,5.05,41,40.5,2023-11-29T09:40:14Z,2,scs-bgx-868,N3,17.3,9.2,9.2,rn20
24,2,33,6,393,54,12,8,6,7,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,16.5,26,4.1,5.23,41,40.5,2023-11-29T09:40:24Z,2,scs-bgx-868,N3,23.5,9.3,9.3,rn20
24,1.8,30,4.4,384,53,16,4,6,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,8.9,0,4.1,5.33,41,40.5,2023-11-29T09:40:34Z,2,scs-bgx-868,N3,16.3,9.3,9.5,rn20
25,1.9,32,5.3,382,55,21,2,4,6,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,8.8,37,4.1,5.17,41,40.5,2023-11-29T09:40:44Z,2,scs-bgx-868,N3,22.1,9.1,9,rn20
24,1.8,30,4.4,341,48,25,4,5,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,9.8,36,4.1,5.29,41,40.5,2023-11-29T09:40:54Z,2,scs-bgx-868,N3,20.6,9.1,9.7,rn20
24,1.7,31,4.7,370,43,15,6,4,2,3,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,17.5,31,4.1,5.35,41,40.5,2023-11-29T09:41:04Z,2,scs-bgx-868,N3,26.3,9.4,10.4,rn20
26,1.7,31,4.6,360,35,18,2,7,3,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,17.5,38,4.1,5.07,41,40.5,2023-11-29T09:41:14Z,2,scs-bgx-868,N3,22.8,7.3,9.5,rn20
23,1.8,29,6.1,389,46,15,7,4,1,9,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,16.8,47,4.1,5.42,41,40.5,2023-11-29T09:41:24Z,2,scs-bgx-868,N3,28.9,9.2,10.2,rn20
25,2,29,4.8,422,48,22,4,4,5,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,12.5,0,4.1,5.23,41,40.5,2023-11-29T09:41:34Z,2,scs-bgx-868,N3,19.3,8.5,9.4,rn20
24,1.9,34,5.6,398,44,20,7,3,9,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,8.8,48,4.1,5.32,41.1,40.5,2023-11-29T09:41:44Z,2,scs-bgx-868,N3,23,9.1,10.6,rn20
24,2,40,5.1,352,61,24,8,6,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,9,43,4.1,5.38,41,40.5,2023-11-29T09:41:54Z,2,scs-bgx-868,N3,21.7,9.2,8,rn20
